PART_NAME,Manufacturer,Supplier,Capacitor Type,V_D (V),Capacitance (uF),ESR (mO),I_RIPPLE 105 C (mA),I_RIPPLE 125 C (mA),LEAKAGE (uA),T_MAX (C),DF,Cost ($)
# A759KK106M1KAAE75,KEMET,Mouser,Electrolytic,80,10,75,952,550,120,125,,1.53
# A759KK186M1KAAE75,KEMET,Mouser,Electrolytic,80,18,75,1055,610,216,125,,1.47
# A759KS336M1KAAE055,KEMET,Mouser,Electrolytic,80,33,55,1839,1063,396,125,,1.85
# A759KS476M1KAAE45,KEMET,Mouser,Electrolytic,80,47,45,2163,1250,564,125,,2.62
# A759MS566M1KAAE45,KEMET,Mouser,Electrolytic,80,56,45,2630,1520,672,125,,2.77
# A759EQ475M2AAAE160,KEMET,Mouser,Electrolytic,100,4.7,160,510,300,120,125,,1.11
A759KS156M2AAAE052,KEMET,Mouser,Electrolytic,100,15,52,1850,680,225,125,,1.71
# A759MS226M2AAAE45,KEMET,Mouser,Electrolytic,100,22,45,2300,720,330,125,,2.37
# A759KS106M2CAAE110,KEMET,Mouser,Electrolytic,160,10,110,1350,550,240,125,,1.77
# A759MS156M2CAAE094,KEMET,Mouser,Electrolytic,160,15,94,1580,685,360,125,,2.46
A759MS186M2CAAE090,KEMET,Mouser,Electrolytic,160,18,90,1944,720,432,125,,2.58
# A759KK225M2EAAE685,KEMET,Mouser,Electrolytic,250,2.2,685,210,70,120,,,1.24
# A759KS335M2EAAE512,KEMET,Mouser,Electrolytic,250,3.3,512,450,175,124,,,1.77
# A759KS475M2EAAE496,KEMET,Mouser,Electrolytic,250,4.7,496,650,210,175,,,1.86
# A759MS685M2EAAE482,KEMET,Mouser,Electrolytic,250,6.8,482,780,250,255,,,2.7
# A759MS825M2EAAE458,KEMET,Mouser,Electrolytic,250,8.2,458,950,315,308,,,2.88
# A759SZ826M2EAAE150,KEMET,Mouser,Electrolytic,250,82,150,3200,1750,3075,,,14.32
# A759TC227M2EAAE250,KEMET,Mouser,Electrolytic,250,220,250,1800,1000,8250,,,28.03
# A768KE226M1JLAE054,KEMET,Mouser,Electrolytic,63,22,54,,1175,277,,,0.78
# A768KE276M1JLAE54,KEMET,Mouser,Electrolytic,63,27,54,,1175,340,,,0.81
# A768KS476M1JLAE31,KEMET,Mouser,Electrolytic,63,47,31,,1800,592,,,0.98
# A768KS566M1JLAE31,KEMET,Mouser,Electrolytic,63,56,31,,1800,706,,,1.01
# A768MS826M1JLAV27,KEMET,Mouser,Electrolytic,63,82,27,,2000,1033,,,2.42
# A768MS107M1JLAE27,KEMET,Mouser,Electrolytic,63,100,27,,2000,1260,,,1.07
# A768KS336M1KLAE38,KEMET,Mouser,Electrolytic,80,33,38,,1600,528,,,1.03
# A768KS396M1KLAE38,KEMET,Mouser,Electrolytic,80,39,38,,1600,624,,,1.06
# A768MS476M1KLAE34,KEMET,Mouser,Electrolytic,80,47,34,,1800,752,,,1.05
# A768MS566M1KLAE34,KEMET,Mouser,Electrolytic,80,56,34,,1800,896,,,1.08
# 63SXV18M,Panasonic,Mouser,Electrolytic,63,18,60,340,,56,,0.12,2.12
# 63SXV33M,Panasonic,Mouser,Electrolytic,63,33,25,930,,104,,0.12,3.68
# 63SXV39M,Panasonic,Mouser,Electrolytic,63,39,25,930,,122,,0.12,3.85
# 63SXV39MX,Panasonic,Mouser,Electrolytic,63,39,50,690,,122,,0.12,3.29
# 63SXV56M,Panasonic,Mouser,Electrolytic,63,56,25,930,,176,,0.12,3.73
# 63SXV68M,Panasonic,Mouser,Electrolytic,63,68,25,1030,,214,,0.12,4.24
# 63SXV100M,Panasonic,Mouser,Electrolytic,63,100,25,1030,,315,,0.12,4.02
# 80SXV12M,Panasonic,Mouser,Electrolytic,80,12,60,340,,48,,0.12,2.26
# 80SXV27M,Panasonic,Mouser,Electrolytic,80,27,35,780,,108,,0.12,3.85
# 80SXV27MX,Panasonic,Mouser,Electrolytic,80,27,55,660,,108,,0.12,3.29
# 80SXV33M,Panasonic,Mouser,Electrolytic,80,33,35,780,,132,,0.12,3.73
# 80SXV47M,Panasonic,Mouser,Electrolytic,80,47,28,980,,980,,0.12,3.97
# 80SXV56M,Panasonic,Mouser,Electrolytic,80,56,28,980,,224,,0.12,4.05
# 100SXV6R8M,Panasonic,Mouser,Electrolytic,100,6.8,60,340,,34,,0.12,2.24
# 100SXV15MX,Panasonic,Mouser,Electrolytic,100,15,60,630,,75,,0.12,3.25
# 100SXV15M,Panasonic,Mouser,Electrolytic,100,15,40,730,,75,,0.12,3.43
# 100SXV18M,Panasonic,Mouser,Electrolytic,100,18,30,940,,90,,0.12,3.73
# 100SXV18MX,Panasonic,Mouser,Electrolytic,100,18,40,730,,90,,0.12,3.74
# 100SXV22M,Panasonic,Mouser,Electrolytic,100,22,30,940,,110,,0.12,4.23
# 100SXV27M,Panasonic,Mouser,Electrolytic,100,27,30,940,,135,,0.12,4.03
# HZA106M063D16T-F,Cornell Dubilier,Mouser,Electrolytic,63,10,120,1000,,6.3,,0.08,2.29
# HZA226M063X16T-F,Cornell Dubilier,Mouser,Electrolytic,63,22,80,1500,,13.8,,0.08,3.07
# HZA336M080G24T-F,Cornell Dubilier,Mouser,Electrolytic,80,33,36,1700,,26.4,,0.08,4.62
