PART_NAME,SHAPE,MATERIAL,MANUFACTURER,SUPPLIER,COST
# PQ20/16-3C95,PQ20/16,3C95,FERROXCUBE,DIGIKEY,1.71
# PQ20/16-3C97,PQ20/16,3C97,FERROXCUBE,DIGIKEY,1.83
# PQ20/16-3F36,PQ20/16,3F36,FERROXCUBE,DIGIKEY,1.83
# PQ20/20-3C95,PQ20/20,3C95,FERROXCUBE,DIGIKEY,1.91
# PQ20/20-3C96,PQ20/20,3C96,FERROXCUBE,DIGIKEY,1.87
# PQ20/20-3C97,PQ20/20,3C97,FERROXCUBE,DIGIKEY,2.05
# PQ20/20-3F36,PQ20/20,3F36,FERROXCUBE,DIGIKEY,2.04
# PQ26/20-3C95,PQ26/20,3C95,FERROXCUBE,DIGIKEY,2.86
# PQ26/20-3C96,PQ26/20,3C96,FERROXCUBE,DIGIKEY,2.81
# PQ26/20-3C97,PQ26/20,3C97,FERROXCUBE,DIGIKEY,2.96
# PQ26/20-3F36,PQ26/20,3F36,FERROXCUBE,DIGIKEY,2.96
PQ26/25-3C95,PQ26/25,3C95,FERROXCUBE,DIGIKEY,3.17
PQ26/25-3C96,PQ26/25,3C96,FERROXCUBE,DIGIKEY,3.11
PQ26/25-3C97,PQ26/25,3C97,FERROXCUBE,DIGIKEY,3.40
PQ26/25-3F36,PQ26/25,3F36,FERROXCUBE,DIGIKEY,3.40
PQ32/20-3C95,PQ32/20,3C95,FERROXCUBE,DIGIKEY,4.53
PQ32/20-3C97,PQ32/20,3C97,FERROXCUBE,DIGIKEY,4.53
PQ32/20-3F36,PQ32/20,3F36,FERROXCUBE,DIGIKEY,3.92
# RM6S/ILP-3C95,RM6S/ILP,3C95,FERROXCUBE,DIGIKEY,1.26
# RM8/ILP-3C95,RM8/ILP,3C95,FERROXCUBE,DIGIKEY,2.08
# RM10/ILP-3C95,RM10/ILP,3C95,FERROXCUBE,DIGIKEY,2.82
# EFD10/5/3-3F36-S,EFD10/5/3,3F36,FERROXCUBE,DIGIKEY,2
# EFD12/6/3.5-3F36-S,EFD12/6/3.5,3F36,FERROXCUBE,DIGIKEY,2.15
# EFD20/10/7-3C96,EFD20/10/7,3C96,FERROXCUBE,DIGIKEY,0.81
# EFD20/10/7-3F36,EFD20/10/7,3F36,FERROXCUBE,DIGIKEY,0.89
# EFD25/13/9-3C96,EFD25/13/9,3C96,FERROXCUBE,DIGIKEY,1.12
# EFD25/13/9-3F36,EFD25/13/9,3F36,FERROXCUBE,DIGIKEY,1.23
# EFD30/15/9-3C96,EFD30/15/9,3C96,FERROXCUBE,DIGIKEY,1.37
# EFD30/15/9-3F36,EFD30/15/9,3F36,FERROXCUBE,DIGIKEY,1.49
