SHAPE,K_G (mm^5),VOLUME (mm^3),CORE_CSA (mm^2),WINDING_CSA (mm^2),TURN_LENGTH (mm),BOBBIN,DATASHEET
PQ20/16,2046,2330,61.9,23.5,44,CPV-PQ20/16-1S-14P,https://www.ferroxcube.com/en-global/download/download/11
PQ20/20,3206,2850,62.6,36,44,CPV-PQ20/20-1S-14P-Z,https://www.ferroxcube.com/en-global/download/download/12
PQ26/20,8073,5470,121,31.1,56.4,CPV-PQ26/20-1S-12P-Z,https://www.ferroxcube.com/en-global/download/download/13
PQ26/25,12128,6530,120,47.5,56.4,CPV-PQ26/25-1S-12P-Z,https://www.ferroxcube.com/en-global/download/download/14
PQ32/20,19183,9440,169,44.8,66.7, CPV-PQ32/20-1S-12P-Z,https://www.ferroxcube.com/en-global/download/download/15
PQ32/30,22161,12500,167,53,66.7,CPV-PQ32/30-1S-12P-Z,https://www.ferroxcube.com/en-global/download/download/16
RM4/ILP,38,251,14.5,3.75,20.7,CSVS-RM4/LP-1S-8PL,https://www.ferroxcube.com/en-global/download/download/17
RM5/ILP,111,430,24.5,4.6,24.9,CSVS-RM5/LP-1S-8P,https://www.ferroxcube.com/en-global/download/download/18
RM6S/ILP,286,820,37.5,6.3,31,CSVS-RM6S/LP-1S-8P,https://www.ferroxcube.com/en-global/download/download/19
RM8/ILP,1340,1860,64.9,13.3,41.8,CSV-RM8/ILP-1S-12P-Z,https://www.ferroxcube.com/en-global/download/download/20
RM10/ILP,3966,3360,99.1,21,52,CPV-RM10/ILP-1S-12PD,https://www.ferroxcube.com/en-global/download/download/21
EFD10/5/3,15,171,7.2,4.2,14.8,CPHS-EFD10-1S-8P,https://www.ferroxcube.com/en-global/download/download/22
EFD12/6/3.5,45,325,11.4,6.5,18.6,CPHS-EFD12-1S-8P-Z,https://www.ferroxcube.com/en-global/download/download/23
EFD15/8/5,127,510,15,14.8,26.3,CSH-EFD15-1S-8P,https://www.ferroxcube.com/en-global/download/download/24
EFD20/10/7,695,1460,31,26.4,36.5,CSH-EFD20-1S-8P,https://www.ferroxcube.com/en-global/download/download/25
EFD25/13/9,2915,3300,58,40.2,46.4,CSH-EFD25-1S-10P,https://www.ferroxcube.com/en-global/download/download/26
EFD30/15/9,4707,4700,69,52.3,52.9,CSH-EFD30-1S-12P,https://www.ferroxcube.com/en-global/download/download/27
